date,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
20170101,1,1,0,OLD,20161725,마스터,2016-12-21,4395114100,46.2,-188384150,-4.1,44179755165,505602,-32182,-6,5440922,1243,5715
20170101,2,2,0,OLD,20163183,로그 원: 스타워즈 스토리,2016-12-28,1612424700,17.0,-351990650,-17.9,6739961794,173451,-40093,-18.8,769938,810,3335
20170101,3,3,0,OLD,20162025,씽,2016-12-21,943975500,9.9,-118258900,-11.1,9147833289,115152,-18516,-13.9,1178327,721,1755
20170101,4,4,1,OLD,20144641,판도라,2016-12-07,736915900,7.8,-35315100,-4.6,34692314064,87969,-6796,-7.2,4401833,576,1476
20170101,5,5,-1,OLD,20167904,라라랜드,2016-12-07,770889600,8.1,-162044100,-17.4,20767028832,87529,-21007,-19.4,2472637,590,1578
20170101,6,6,0,OLD,20161872,너의 이름은.,2017-01-04,325811500,3.4,31854500,10.8,640998500,37418,3245,9.5,74181,275,342
20170101,7,7,0,OLD,20162727,루돌프와 많이있어,2016-12-28,243890000,2.6,-23742600,-8.9,926773600,29910,-4074,-12,119420,372,581
20170101,8,8,0,OLD,20162183,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,2016-12-22,154931400,1.6,-31745800,-17,1821568800,19405,-4703,-19.5,238452,300,422
20170101,9,9,0,OLD,20152371,"당신, 거기 있어줄래요",2016-12-14,166222000,1.7,-30383700,-15.5,9165307248,18630,-4126,-18.1,1143445,261,572
20170101,10,10,1,OLD,20165285,극장판 도라에몽: 신 진구의 버스 오브 재팬,2016-12-21,28628400,0.3,-7085700,-19.8,482548500,3552,-985,-21.7,62699,97,107
20170102,1,1,0,OLD,20161725,마스터,2016-12-21,1401258500,41.9,-2993855600,-68.1,45581013665,182940,-322662,-63.8,5623862,1159,5375
20170102,2,2,1,OLD,20162025,씽,2016-12-21,510172500,15.2,-433803000,-46,9658005789,70665,-44487,-38.6,1248992,647,1718
20170102,3,3,-1,OLD,20163183,로그 원: 스타워즈 스토리,2016-12-28,417096300,12.5,-1195328400,-74.1,7157058094,49907,-123544,-71.2,819845,756,3163
20170102,4,4,1,OLD,20167904,라라랜드,2016-12-07,356192200,10.6,-414697400,-53.8,21123221032,45774,-41755,-47.7,2518411,556,1654
20170102,5,5,-1,OLD,20144641,판도라,2016-12-07,283473300,8.5,-453442600,-61.5,34975787364,38072,-49897,-56.7,4439905,540,1495
20170102,6,6,1,OLD,20162727,루돌프와 많이있어,2016-12-28,136419000,4.1,-107471000,-44.1,1063192600,19063,-10847,-36.3,138483,340,533
20170102,7,7,2,OLD,20152371,"당신, 거기 있어줄래요",2016-12-14,77880200,2.3,-88341800,-53.1,9243187448,10133,-8497,-45.6,1153578,305,616
20170102,8,8,0,OLD,20162183,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,2016-12-22,64021400,1.9,-90910000,-58.7,1885590200,9156,-10249,-52.8,247608,246,353
20170102,9,9,4,OLD,19890291,해리가 샐리를 만났을 때,1989-11-18,11575000,0.3,-5005900,-30.2,125812200,1507,-378,-20.1,16098,76,130
20170102,10,10,1,OLD,20161763,"나, 다니엘 블레이크",2016-12-08,10006000,0.3,-8031800,-44.5,454890100,1361,-724,-34.7,57298,39,60
20170103,1,1,0,OLD,20161725,마스터,2016-12-21,1035677100,36.9,-365581400,-26.1,46616690765,135700,-47240,-25.8,5759562,1171,5328
20170103,2,2,0,OLD,20162025,씽,2016-12-21,501522100,17.9,-8650400,-1.7,10159527889,70773,108,0.2,1319765,681,1762
20170103,3,3,1,OLD,20167904,라라랜드,2016-12-07,317474800,11.3,-38717400,-10.9,21440695832,41085,-4689,-10.2,2559496,567,1638
20170103,4,4,-1,OLD,20163183,로그 원: 스타워즈 스토리,2016-12-28,293678300,10.5,-123418000,-29.6,7450736394,35485,-14422,-28.9,855330,759,3002
20170103,5,5,0,OLD,20144641,판도라,2016-12-07,205442000,7.3,-78031300,-27.5,35181229364,27605,-10467,-27.5,4467510,538,1463
20170103,6,6,0,OLD,20162727,루돌프와 많이있어,2016-12-28,143517700,5.1,7098700,5.2,1206710300,20377,1314,6.9,158860,361,554
20170103,7,7,1,OLD,20162183,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,2016-12-22,63022700,2.2,-998700,-1.6,1948612900,9079,-77,-0.8,256687,244,348
20170103,8,8,-1,OLD,20152371,"당신, 거기 있어줄래요",2016-12-14,67144600,2.4,-10735600,-13.8,9310332048,8951,-1182,-11.7,1162529,306,614
20170103,9,9,1,OLD,20161763,"나, 다니엘 블레이크",2016-12-08,21098300,0.8,11092300,110.9,475988400,3091,1730,127.1,60389,65,91
20170103,10,10,0,NEW,20163014,7년-그들이 없는 언론,2017-01-12,16408000,0.6,16408000,100,19488000,2051,2051,100,2473,10,10
