week,showRange,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
201801,20180101~20180107,1,1,0,OLD,20150976,신과함께-죄와 벌,2017-12-20,24221787905,40.7,-15358335058,-38.8,92572302337,2962892,-2017873,-40.5,11502389,1644,42723
201801,20180101~20180107,2,2,0,OLD,20170590,1987,2017-12-27,17594228895,29.6,2580121858,17.2,32848232932,2147314,233400,12.2,4089391,1097,32523
201801,20180101~20180107,3,3,31,OLD,20171909,쥬만지: 새로운 세계,2018-01-03,7321375650,12.3,7308920650,58682.6,7342470650,891982,890488,59604.3,894556,791,15775
201801,20180101~20180107,4,4,60,OLD,20177104,페르디난드,2018-01-03,2613430300,4.4,2611642300,146065.0,2625680300,354123,353825,118733.2,355781,698,6439
201801,20180101~20180107,5,5,-2,OLD,20170402,강철비,2017-12-14,2710606900,4.6,-4043839044,-59.9,34705536466,336450,-520984,-60.8,4350747,602,8281
201801,20180101~20180107,6,6,-2,OLD,20179462,위대한 쇼맨,2017-12-20,2130088400,3.6,-1278241469,-37.5,8787127600,257306,-165235,-39.1,1071893,444,5713
201801,20180101~20180107,7,7,-2,OLD,20174965,극장판 포켓몬스터 너로 정했다!,2017-12-21,618265800,1.0,-1068636600,-63.3,3735795500,83275,-142206,-63.1,498530,417,1991
201801,20180101~20180107,8,8,0,OLD,20176947,원더,2017-12-27,530596545,0.9,-77628155,-12.8,1162986245,66005,-12689,-16.1,147685,183,2247
201801,20180101~20180107,9,9,-3,OLD,20176082,몬스터 패밀리,2017-12-21,386190500,0.6,-1018912700,-72.5,2917463200,52538,-137395,-72.3,394168,342,1332
201801,20180101~20180107,10,10,-3,OLD,20174846,뽀로로 극장판 공룡섬 대모험,2017-12-07,291952700,0.5,-565861300,-66.0,6140870300,38931,-74621,-65.7,812677,195,1031
201802,20180108~20180114,1,1,1,OLD,20170590,1987,2017-12-27,13797662013,33.2,-3796566882,-21.6,46645894945,1697572,-449742,-20.9,5786963,1122,30794
201802,20180108~20180114,2,2,-1,OLD,20150976,신과함께-죄와 벌,2017-12-20,10715291400,25.8,-13506496505,-55.8,103287593737,1341828,-1621064,-54.7,12844217,1182,29884
201802,20180108~20180114,3,3,18,OLD,20179985,코코,2018-01-11,6941710696,16.7,6914444696,25359.2,7006786696,843790,840690,27119.0,849987,1177,14907
201802,20180108~20180114,4,4,-1,OLD,20171909,쥬만지: 새로운 세계,2018-01-03,5010631491,12.1,-2310744159,-31.6,12353102141,624457,-267525,-30.0,1519013,736,17258
201802,20180108~20180114,5,5,-1,OLD,20177104,페르디난드,2018-01-03,983446600,2.4,-1629983700,-62.4,3609126900,140234,-213889,-60.4,496015,568,5535
201802,20180108~20180114,6,6,0,OLD,20179462,위대한 쇼맨,2017-12-20,1147426300,2.8,-982662100,-46.1,9934553900,139590,-117716,-45.7,1211483,377,4057
201802,20180108~20180114,7,7,56,OLD,20173547,다운사이징,2018-01-11,1044050204,2.5,1041692204,44176.9,1047400204,125047,124785,47627.9,125433,511,5554
201802,20180108~20180114,8,8,-3,OLD,20170402,강철비,2017-12-14,665143200,1.6,-2045463700,-75.5,35370679666,85503,-250947,-74.6,4436250,454,4028
201802,20180108~20180114,9,9,-1,OLD,20176947,원더,2017-12-27,257383800,0.6,-273212745,-51.5,1420370045,32143,-33862,-51.3,179828,149,1524
201802,20180108~20180114,10,10,58,OLD,20177602,"쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?",2018-01-11,170354400,0.4,168610400,9668.0,172098400,21833,21615,9915.1,22051,390,2629
201803,20180115~20180121,1,1,19,OLD,20175054,메이즈 러너: 데스 큐어,2018-01-17,10541152563,25.5,10500347263,25732.8,10581957863,1262242,1258516,33776.6,1265968,1090,21097
201803,20180115~20180121,2,2,1,OLD,20179985,코코,2018-01-11,7391412137,17.8,449701441,6.5,14398198833,953055,109265,12.9,1803042,1009,18965
201803,20180115~20180121,3,3,8,OLD,20176104,그것만이 내 세상,2018-01-17,7378496690,17.8,7297463690,9005.5,7479697690,898369,888621,9115.9,910376,861,17397
201803,20180115~20180121,4,4,-3,OLD,20170590,1987,2017-12-27,7093815800,17.1,-6703846213,-48.6,53739710745,881337,-816235,-48.1,6668300,1042,22423
